2023-01-01 21:05:45,225 [INFO ]  loading data graphnn/data/qm9.db
2023-01-02 01:20:33,783 [INFO ]  step=2495000, energy_mae=0.0106017, energy_rmse=0.027793, total_loss=0.000772449, train_loss=4.70557e+11
2023-01-02 01:25:25,874 [INFO ]  step=2500000, energy_mae=0.0102264, energy_rmse=0.0275191, total_loss=0.000757303, train_loss=4.6708e+11
2023-01-02 01:30:17,210 [INFO ]  step=2505000, energy_mae=0.0108634, energy_rmse=0.0276002, total_loss=0.000761771, train_loss=4.65866e+11
2023-01-02 01:35:08,765 [INFO ]  step=2510000, energy_mae=0.00998717, energy_rmse=0.0273579, total_loss=0.000748454, train_loss=4.74575e+11
2023-01-02 01:40:00,132 [INFO ]  step=2515000, energy_mae=0.00993268, energy_rmse=0.0272592, total_loss=0.000743063, train_loss=4.64557e+11
2023-01-02 01:44:51,306 [INFO ]  step=2520000, energy_mae=0.0124269, energy_rmse=0.0288268, total_loss=0.000830985, train_loss=4.66542e+11
2023-01-02 01:49:43,818 [INFO ]  step=2525000, energy_mae=0.0104267, energy_rmse=0.0277667, total_loss=0.00077099, train_loss=4.66303e+11
2023-01-02 01:54:35,306 [INFO ]  step=2530000, energy_mae=0.0100295, energy_rmse=0.0274789, total_loss=0.000755093, train_loss=4.56336e+11
2023-01-02 01:59:26,894 [INFO ]  step=2535000, energy_mae=0.0104816, energy_rmse=0.0274671, total_loss=0.000754443, train_loss=4.57367e+11
2023-01-02 02:04:18,394 [INFO ]  step=2540000, energy_mae=0.0108799, energy_rmse=0.0282176, total_loss=0.00079623, train_loss=4.63451e+11
2023-01-02 02:09:10,290 [INFO ]  step=2545000, energy_mae=0.00997993, energy_rmse=0.0273285, total_loss=0.000746848, train_loss=4.60537e+11
2023-01-02 02:14:02,292 [INFO ]  step=2550000, energy_mae=0.011517, energy_rmse=0.028093, total_loss=0.000789216, train_loss=4.55284e+11
2023-01-02 02:18:54,433 [INFO ]  step=2555000, energy_mae=0.010841, energy_rmse=0.0280505, total_loss=0.000786833, train_loss=4.59002e+11
2023-01-02 02:23:45,815 [INFO ]  step=2560000, energy_mae=0.0125046, energy_rmse=0.0285533, total_loss=0.000815291, train_loss=4.50082e+11
2023-01-02 02:28:37,166 [INFO ]  step=2565000, energy_mae=0.00993247, energy_rmse=0.0270279, total_loss=0.000730506, train_loss=4.61971e+11
2023-01-02 02:33:28,951 [INFO ]  step=2570000, energy_mae=0.0101024, energy_rmse=0.0273285, total_loss=0.000746847, train_loss=4.5432e+11
2023-01-02 02:38:20,738 [INFO ]  step=2575000, energy_mae=0.0102747, energy_rmse=0.0276283, total_loss=0.000763321, train_loss=4.47722e+11
2023-01-02 02:43:12,249 [INFO ]  step=2580000, energy_mae=0.0113482, energy_rmse=0.0280872, total_loss=0.000788892, train_loss=4.51198e+11
2023-01-02 02:48:04,904 [INFO ]  step=2585000, energy_mae=0.0104193, energy_rmse=0.0275919, total_loss=0.000761314, train_loss=4.49198e+11
